family_id,family_label,sport,event_type,kalshi_market_id,poly_market_id,kalshi_title,poly_title,kalshi_game_date,poly_game_date,both_sides_reference_same_event,kalshi_resolution_rules,poly_resolution_rules,resolution_source_kalshi,resolution_source_poly,timing_alignment,classification,classification_reason,rules_provenance
3120,sports::soccer::Nashville at Charlotte: Totals,soccer,totals,,,Nashville at Charlotte: Totals,Nashville SC vs. Charlotte FC: O/U 4.5 (+ BTS + O/U 1.5/2.5/3.5),,,no,,,,,,non_equivalent,"Linker+parser bug (Phase G): Kalshi single ""totals"" market paired with five distinct Polymarket markets (Both Teams to Score, O/U 1.5/2.5/3.5/4.5); home_team parser ate ""Totals"" suffix into team name; game dates off-by-one. Deactivated in market_links. Feedback to Phase G.",owner_reviewed_2026-04-23_drift_pass
3121,sports::mlb::Athletics vs. New York Yankees,mlb,game_result,KXMLBGAME-26APR121340ATHNYM-ATH,0x8a84bb5c5fa372da673eb5592a28b75dce7f2e83c5af1fbde254ad6a41b4384f,A's vs New York M Winner?,Athletics vs. New York Yankees,2026-04-15,2026-04-15,yes,"If A's wins the A's vs New York M professional baseball game originally scheduled for Apr 12, 2026 at 1:40 PM EDT, then the market resolves to Yes.

The following market refers to the A's vs New York M professional baseball game originally scheduled for Apr 12, 2026 at 1:40 PM EDT. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two days). If the game is cancelled or rescheduled to over two days away, the market will resolve to a fair price in accordance with the rules.","In the upcoming MLB game between the Athletics and New York Yankees, scheduled for April 8 at 7:05PM ET:

This market will resolve to ""Athletics"" if the Athletics win the game.

This market will resolve to ""New York Yankees"" if the New York Yankees win the game.

If the game is postponed, this market will remain open until the game has been completed. If the game is canceled entirely, with no make-up game, or ends in a tie, this market will resolve 50-50.

The primary resolution source for this market is the official final statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 24 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3122,sports::mlb::Athletics vs. New York Yankees,mlb,game_result,KXMLBGAME-26APR121340ATHNYM-NYM,0x343a03146b14e68ad0eb62700c3c7e3001a67d584ec1ff435d3083abd056a4ba,A's vs New York M Winner?,Athletics vs. New York Yankees,2026-04-15,2026-04-14,yes,"If New York M wins the A's vs New York M professional baseball game originally scheduled for Apr 12, 2026 at 1:40 PM EDT, then the market resolves to Yes.

The following market refers to the A's vs New York M professional baseball game originally scheduled for Apr 12, 2026 at 1:40 PM EDT. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two days). If the game is cancelled or rescheduled to over two days away, the market will resolve to a fair price in accordance with the rules.","In the upcoming MLB game between the Athletics and New York Yankees, scheduled for April 7 at 7:05PM ET:

This market will resolve to ""Athletics"" if the Athletics win the game.

This market will resolve to ""New York Yankees"" if the New York Yankees win the game.

If the game is postponed, this market will remain open until the game has been completed. If the game is canceled entirely, with no make-up game, or ends in a tie, this market will resolve 50-50.

The primary resolution source for this market is the official final statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 24 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3123,sports::soccer::Will Bucheon FC 1995 vs. Gimcheon Sangmu,soccer,game_result,KXKLEAGUEGAME-26APR12GISANY-TIE,0x35f4b1a1e07e454d0ca7e4bde33bced91dee96a9e44d819bc31a969d3c59f187,Gimcheon Sangmu vs FC Anyang Winner?,Will Bucheon FC 1995 vs. Gimcheon Sangmu FC end in a draw?,2026-04-26,2026-04-25,yes,"If Tie wins the Gimcheon Sangmu vs FC Anyang professional Korea K League 1 soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes.

The following market refers to the Gimcheon Sangmu vs FC Anyang professional Korea K League 1 soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties). If the game ends in a tie, the market called ""Tie"" resolves to Yes. If the game is cancelled or rescheduled to over two weeks away, the market will resolve to a fair price in accordance with the rules.","In the upcoming game, scheduled for April 25, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.

The primary resolution source for this market is the official statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 2 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3124,sports::soccer::Will Fluminense FC vs. Associação Chapec,soccer,game_result,KXBRASILEIROGAME-26APR11FLUFLA-FLU,0x7a055d29efd6f534345c58676b6206717580e9ff227b026717f7bfeed05346b9,Fluminense vs Flamengo Winner?,Will Fluminense FC vs. Associação Chapecoense de Futebol end in a draw?,2026-04-25,2026-04-26,yes,"If Fluminense wins the Fluminense vs Flamengo professional Brasileiro Serie A soccer game originally scheduled for Apr 11, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes.

The following market refers to the Fluminense vs Flamengo professional Brasileiro Serie A soccer game originally scheduled for Apr 11, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties). If the game ends in a tie, the market called ""Tie"" resolves to Yes. If the game is cancelled or rescheduled to over two weeks away, the market will resolve to a fair price in accordance with the rules.","In the upcoming game, scheduled for April 26, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.

The primary resolution source for this market is the official statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 2 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3125,sports::soccer::Will Silkeborg IF vs. Randers FC end in ,soccer,game_result,KXDENSUPERLIGAGAME-26APR12RANFCC-FCC,0xd7d731b524b0d95d574101a2508400e5f22730a6584085b84c32d2c9e89b3997,Randers vs Copenhagen Winner?,Will Silkeborg IF vs. Randers FC end in a draw?,2026-04-26,2026-04-26,yes,"If Copenhagen wins the Randers vs Copenhagen professional Danish Superliga soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes.

The following market refers to the Randers vs Copenhagen professional Danish Superliga soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties). If the game ends in a tie, the market called ""Tie"" resolves to Yes. If the game is cancelled or rescheduled to over two weeks away, the market will resolve to a fair price in accordance with the rules.","In the upcoming game, scheduled for April 26, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.

The primary resolution source for this market is the official statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 2 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3126,sports::soccer::Will Gwangju FC vs. FC Anyang end in a d,soccer,game_result,KXKLEAGUEGAME-26APR12GISANY-GIS,0xde969ea8da3d2802d308258dca4f6d057434d0f58dd8ee53926a6d293a676526,Gimcheon Sangmu vs FC Anyang Winner?,Will Gwangju FC vs. FC Anyang end in a draw?,2026-04-26,2026-04-26,yes,"If Gimcheon Sangmu wins the Gimcheon Sangmu vs FC Anyang professional Korea K League 1 soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes.

The following market refers to the Gimcheon Sangmu vs FC Anyang professional Korea K League 1 soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties). If the game ends in a tie, the market called ""Tie"" resolves to Yes. If the game is cancelled or rescheduled to over two weeks away, the market will resolve to a fair price in accordance with the rules.","In the upcoming game, scheduled for April 26, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.

The primary resolution source for this market is the official statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 2 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3127,sports::soccer::Will Gangwon FC vs. FC Seoul end in a dr,soccer,game_result,KXKLEAGUEGAME-26APR12DAJGAW-TIE,0x999f375e7f5528c11901ad6e090043ae7324d88f373edceab5f5cf3b5ebaa631,Daejeon Citizen vs Gangwon Winner?,Will Gangwon FC vs. FC Seoul end in a draw?,2026-04-26,2026-04-25,yes,"If Tie wins the Daejeon Citizen vs Gangwon professional Korea K League 1 soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes.

The following market refers to the Daejeon Citizen vs Gangwon professional Korea K League 1 soccer game originally scheduled for Apr 12, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties). If the game ends in a tie, the market called ""Tie"" resolves to Yes. If the game is cancelled or rescheduled to over two weeks away, the market will resolve to a fair price in accordance with the rules.","In the upcoming game, scheduled for April 25, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.

The primary resolution source for this market is the official statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 2 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3128,sports::soccer::Will Ulsan HD FC vs. Daejeon Hana Citize,soccer,game_result,KXKLEAGUEGAME-26APR11INCULS-ULS,0x577fbe14cad35efb518c808ad8f4971f63bf03a76e070a3a034a76564851b6cc,Incheon Utd vs Ulsan HD Winner?,Will Ulsan HD FC vs. Daejeon Hana Citizen FC end in a draw?,2026-04-25,2026-04-26,yes,"If Ulsan HD wins the Incheon Utd vs Ulsan HD professional Korea K League 1 soccer game originally scheduled for Apr 11, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes.

The following market refers to the Incheon Utd vs Ulsan HD professional Korea K League 1 soccer game originally scheduled for Apr 11, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties). If the game ends in a tie, the market called ""Tie"" resolves to Yes. If the game is cancelled or rescheduled to over two weeks away, the market will resolve to a fair price in accordance with the rules.","In the upcoming game, scheduled for April 26, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.

The primary resolution source for this market is the official statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 2 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
3129,sports::soccer::Will Jeonbuk Hyundai Motors FC vs. Pohan,soccer,game_result,KXKLEAGUEGAME-26APR11POHJEJ-TIE,0xf35f3d083477a65e0883dad02b4291eb8491bcbdb594ceb79ba5c17a12ccb6d3,Pohang Steelers vs Jeju SK Winner?,Will Jeonbuk Hyundai Motors FC vs. Pohang Steelers FC end in a draw?,2026-04-25,2026-04-26,yes,"If Tie wins the Pohang Steelers vs Jeju SK professional Korea K League 1 soccer game originally scheduled for Apr 11, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes.

The following market refers to the Pohang Steelers vs Jeju SK professional Korea K League 1 soccer game originally scheduled for Apr 11, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties). If the game ends in a tie, the market called ""Tie"" resolves to Yes. If the game is cancelled or rescheduled to over two weeks away, the market will resolve to a fair price in accordance with the rules.","In the upcoming game, scheduled for April 26, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.

The primary resolution source for this market is the official statistics of the event as recognized by the governing body or event organizers. However, if the governing body or event organizers have not published final match statistics within 2 hours after the event's conclusion, a consensus of credible reporting may be used instead.",,,unclear,non_equivalent,"Linker bug (Phase G): Kalshi and Polymarket fixtures do not match — linker matched on partial participant overlap (one shared team name) instead of full-fixture identity. Even where fixtures hypothetically aligned, Kalshi is a 2-way moneyline and Poly is a binary draw market (different resolution criteria). Per A3 brief escalation clause, this is linker feedback, not an audit call. Family deactivated in market_links; breadcrumb left in docs/pivot/artifacts/linker-bugs-phase-g.md.",api;api; owner_reviewed_2026-04-23
